quartet_key,category_key,label,rule,tier,review_state,solver_state,difficulty,words
animal_actions__1,animal_actions,ANIMAL ACTIONS,Actions typical of animals rather than people,normal,auto_validated,unique,0.28,nest | hunt | hatch | shed
animal_actions__2,animal_actions,ANIMAL ACTIONS,Actions typical of animals rather than people,normal,auto_validated,unique,0.315,migrate | burrow | spawn | perch
animal_actions__3,animal_actions,ANIMAL ACTIONS,Actions typical of animals rather than people,normal,auto_validated,unique,0.327,graze | roost | forage | pounce
building_actions__1,building_actions,BUILDING ACTIONS,Actions done when building or repairing something,normal,auto_validated,unique,0.222,saw | paint | measure | level
building_actions__2,building_actions,BUILDING ACTIONS,Actions done when building or repairing something,normal,auto_validated,unique,0.239,nail | sand | screw | mount
building_actions__3,building_actions,BUILDING ACTIONS,Actions done when building or repairing something,normal,auto_validated,unique,0.248,drill | hammer | bolt | install
carrying_actions__1,carrying_actions,CARRYING ACTIONS,Ways of carrying or moving an object,normal,auto_validated,unique,0.263,push | pull | carry | transport
carrying_actions__2,carrying_actions,CARRYING ACTIONS,Ways of carrying or moving an object,normal,auto_validated,unique,0.279,slide | lift | drag | load
carrying_actions__3,carrying_actions,CARRYING ACTIONS,Ways of carrying or moving an object,normal,auto_validated,unique,0.304,toss | haul | tow | shove
cleaning_actions__1,cleaning_actions,CLEANING ACTIONS,Actions done when cleaning something,normal,auto_validated,unique,0.228,polish | wash | dust | dry
cleaning_actions__2,cleaning_actions,CLEANING ACTIONS,Actions done when cleaning something,normal,auto_validated,unique,0.244,wipe | sweep | vacuum | shine
cleaning_actions__3,cleaning_actions,CLEANING ACTIONS,Actions done when cleaning something,normal,auto_validated,unique,0.266,scrub | mop | rinse | tidy
cooking_actions__1,cooking_actions,COOKING ACTIONS,Verbs describing something a cook does to food,normal,auto_validated,unique,0.201,stir | slice | steam | drain
cooking_actions__2,cooking_actions,COOKING ACTIONS,Verbs describing something a cook does to food,normal,auto_validated,unique,0.21,fry | bake | blend | toss
cooking_actions__3,cooking_actions,COOKING ACTIONS,Verbs describing something a cook does to food,normal,auto_validated,unique,0.213,boil | grill | roast | peel
destroying_actions__1,destroying_actions,BREAKING ACTIONS,Actions that damage or destroy something,normal,auto_validated,unique,0.274,break | tear | rip | split
destroying_actions__2,destroying_actions,BREAKING ACTIONS,Actions that damage or destroy something,normal,auto_validated,unique,0.289,smash | crush | snap | burst
destroying_actions__3,destroying_actions,BREAKING ACTIONS,Actions that damage or destroy something,normal,auto_validated,unique,0.317,squash | crumble | dent | shred
driving_actions__1,driving_actions,DRIVING ACTIONS,Actions done while driving a car,normal,auto_validated,unique,0.222,park | shift | reverse | signal
driving_actions__2,driving_actions,DRIVING ACTIONS,Actions done while driving a car,normal,auto_validated,unique,0.245,stall | brake | yield | cruise
driving_actions__3,driving_actions,DRIVING ACTIONS,Actions done while driving a car,normal,auto_validated,unique,0.259,steer | accelerate | merge | idle
eating_actions__1,eating_actions,EATING ACTIONS,Actions done while eating or drinking,normal,auto_validated,unique,0.228,bite | taste | drink | feast
eating_actions__2,eating_actions,EATING ACTIONS,Actions done while eating or drinking,normal,auto_validated,unique,0.255,swallow | sip | lick | snack
eating_actions__3,eating_actions,EATING ACTIONS,Actions done while eating or drinking,normal,auto_validated,unique,0.279,chew | gulp | munch | devour
garden_actions__1,garden_actions,GARDEN ACTIONS,Actions done while gardening,normal,auto_validated,unique,0.262,plant | water | weed | seed
garden_actions__2,garden_actions,GARDEN ACTIONS,Actions done while gardening,normal,auto_validated,unique,0.288,trim | dig | harvest | transplant
garden_actions__3,garden_actions,GARDEN ACTIONS,Actions done while gardening,normal,auto_validated,unique,0.317,sow | rake | mow | compost
giving_and_taking__1,giving_and_taking,GIVING AND TAKING,Verbs about transferring something to or from someone,normal,auto_validated,unique,0.259,hand | give | offer | buy
